categorie,url,prix_tnd,nom,marque,ram_go,stockage_go,cpu_serie,os_platform,has_5g,has_wifi,taille_ecran,cpu_brand,has_4g,has_wifi6,has_bluetooth,resolution_affichage,technologie_dalle,hdr,smart_tv,taux_rafraichissement,has_ethernet
telephones_portables,https://www.mytek.tn/telephone-portable-clever-c4-purple.html,32.9,Téléphone Portable Clever C4 - Purple,CLEVER,16.0,32.0,,Sans Système,,,1.77,,,,1.0,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i7-13e-gen-8g-512g-ssd-bleu.html,2099.0,PC Portable ASUS Vivobook 15 X1502VA i7 13è Gén 8G 512G SSD - Bleu,ASUS,8.0,512.0,7.0,Windows 11 Famille,,,15.6,Intel,,,,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-hp-15-fc0127nk-amd-ryzen-5-8go-512go-ssd-silver.html,1715.0,PC Portable HP 15-fc0127nk AMD RYZEN 5 8Go 512Go SSD - Silver,HP,8.0,512.0,0.0,Windows 11 Famille,,,15.6,AMD,,,,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-gamer-lenovo-loq-15irx10-i7-13e-gen-16g-rtx-5050.html,4039.0,PC Portable Gamer LENOVO LOQ 15IRX10 i7 13è Gén 16G RTX 5050,LENOVO,16.0,512.0,7.0,Windows 11 Pro,,,15.6,Intel,,,,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-dell-pro-16-amd-ryzen-5-32go-512go-ssd-gris.html,2745.0,PC Portable DELL Pro 16 AMD RYZEN 5 32Go 512Go SSD - Gris,DELL,32.0,512.0,0.0,FreeDos,,,16.0,AMD,,,,,,,,,
smartphones,https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-8go-256go-lime-vert.html,729.0,Smartphone Xiaomi Redmi Note 14  4G  8Go 256Go - Lime Green,XIAOMI,8.0,256.0,,Android,0.0,0.0,6.67,Autre,1.0,0.0,0.0,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-hp-probook-460-g11-ultra-5-125u-8go-512go-ssd-silver.html,2589.0,Pc Portable HP ProBook 460 G11 Ultra 5 125U 8Go 512Go SSD - Silver,HP,8.0,512.0,0.0,FreeDos,,,16.0,Intel,,,,,,,,,
pc_bureau,https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen5-32go-rtx-5060-8g.html,4379.0,Pc de Bureau Gamer MYTEK AMD RYZEN5 32Go RTX 5060 8G,MSI,32.0,1024.0,0.0,FreeDos,0.0,0.0,,,,,,,,,,,
smartphones,https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-navy.html,2299.0,Smartphone Samsung Galaxy A57 5G 16Go 256Go - Navy,SAMSUNG,16.0,256.0,,Android,1.0,0.0,6.7,Samsung Exynos,0.0,1.0,1.0,,,,,,
smartphones,https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-noir.html,2799.0,Smartphone SAMSUNG GALAXY S25 FE 8Go 256Go - Noir,SAMSUNG,8.0,256.0,,Android,1.0,1.0,6.7,Samsung Exynos,0.0,0.0,1.0,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-lenovo-thinkbook-16-g9-irl-intel-core-5-210h-8g-512g-ssd.html,2689.0,PC Portable LENOVO ThinkBook 16 G9 IRL Intel Core 5 210H 8G 512G SSD,LENOVO,8.0,512.0,5.0,FreeDos,,,16.0,Intel,,,,,,,,,
smartphones,https://www.mytek.tn/smartphone-huawei-nova-11i-8go-128go-vert-menthe.html,699.0,Smartphone HUAWEI Nova 11i 8Go 128Go - Vert Menthe,HUAWEI,8.0,128.0,,Android,0.0,0.0,6.8,Qualcomm,1.0,0.0,0.0,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-asus-expertbook-p1503-i7-13e-gen-8g-512g-ssd-gris.html,2139.0,PC Portable ASUS ExpertBook P1503 i7 13è Gén 8G 512G SSD - Gris,ASUS,8.0,512.0,7.0,Windows 11 Pro,,,15.6,Intel,,,,,,,,,
smartphones,https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-4g-8go-256go-glacier-blue.html,899.0,Smartphone Xiaomi Redmi Note 15  4G  8Go 256Go - Glacier Blue,XIAOMI,8.0,256.0,,Android,0.0,1.0,6.77,MediaTek,1.0,0.0,1.0,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-gamer-msi-cyborg-15-b13w-i7-13e-gen-16go-rtx-5070.html,5509.0,PC Portable Gamer MSI Cyborg 15 B13W i7 13è Gén 16Go RTX 5070,MSI,16.0,512.0,7.0,FreeDos,,,15.6,Intel,,,,,,,,,
pc_bureau,https://www.mytek.tn/pc-de-bureau-all-in-one-lenovo-a100-intel-n100-16g-256g-ssd-gris.html,1749.0,PC de Bureau ALL IN ONE LENOVO A100 Intel N100 16G 256G SSD - Gris,LENOVO,16.0,256.0,0.0,Windows 11 Pro,0.0,1.0,,,,,,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-gamer-msi-cyborg-17-b2rw-intel-core-5-210h-32go-rtx-5050.html,5299.0,PC Portable Gamer MSI Cyborg 17 B2RW Intel Core 5 210H 32Go RTX 5050,MSI,32.0,512.0,5.0,FreeDos,,,17.3,Intel,,,,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-hp-probook-4-g1ir-intel-core-5-120u-16g-512g-ssd.html,2979.0,Pc Portable HP ProBook 4 G1iR Intel Core 5 120U 16G 512G SSD,HP,16.0,512.0,5.0,Windows 11 Pro,,,16.0,Intel,,,,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-gamer-gigabyte-aorus-master-16-ultra-9-275hx-32go-rtx-5090.html,16129.0,PC Portable Gamer GIGABYTE AORUS MASTER 16 Ultra 9 275HX 32Go RTX 5090,GIGABYTE,32.0,2048.0,0.0,Windows 11 Pro,,,16.0,Intel,,,,,,,,,
televiseurs,https://www.mytek.tn/tv-telefunken-55-g3fn-4k-uhd-smart-google-tv-recepteur-integre.html,1389.0,Tv TELEFUNKEN 55” G3FN 4K UHD Smart Google TV + Récepteur Intégré,TELEFUNKEN,,,,Google TV,,1.0,55.0,,0.0,0.0,1.0,4K,QLED,True,True,104.8,1.0
telephones_portables,https://www.mytek.tn/telephone-portable-evertek-ex18-orange.html,35.0,Téléphone Portable EVERTEK EX18 - Orange,EVERTEK,0.0234375,32.0,,Autres,,,1.8,,,,1.0,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-gamer-msi-thin-15-b13ucx-i5-13e-gen-16g-rtx-2050.html,2529.0,PC Portable Gamer MSI Thin 15 B13UCX i5 13è Gén 16G RTX 2050,MSI,16.0,512.0,5.0,Windows 11 Pro,,,15.6,Intel,,,,,,,,,
pc_bureau,https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-14e-gen-32g-rtx5060-ti-16g.html,6699.0,Pc de Bureau Gamer MYTEK i7 14è Gén 32G RTX5060 Ti 16G,MYTEK,32.0,1024.0,7.0,FreeDos,0.0,1.0,,,,,,,,,,,
pc_bureau,https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-32go-rtx-3050-6g.html,2399.0,Pc de Bureau Gamer MYTEK AMD RYZEN 5 32Go RTX 3050 6G,MSI,32.0,500.0,0.0,FreeDos,0.0,0.0,,,,,,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-lenovo-ideapad-slim-3-15iru8-i3-13e-gen-8g-512g-ssd-gris.html,1519.0,PC Portable LENOVO IdeaPad Slim 3 15IRU8 i3 13è Gén 8G 512G SSD - Gris,LENOVO,8.0,512.0,3.0,FreeDos,,,15.6,Intel,,,,,,,,,
smartphones,https://www.mytek.tn/smartphone-vivo-y31d-4g-8go-256go-7200mah-gris.html,1069.0,Smartphone VIVO Y31D 4G 8Go 256Go 7200mAh - Gris,VIVO,8.0,256.0,,Android,0.0,1.0,6.75,Qualcomm,1.0,0.0,1.0,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-hp-probook-450-g10-i5-13e-gen-24g-512g-ssd-silver.html,2749.0,Pc Portable HP ProBook 450 G10 i5 13è Gén 24G 512G SSD - Silver,HP,24.0,512.0,5.0,FreeDos,,,15.6,Intel,,,,,,,,,
smartphones,https://www.mytek.tn/smartphone-tecno-spark-30-5g-4-go-128-go-aurora-cloud.html,559.0,Smartphone TECNO Spark 30 5G 4 Go 128 Go - Aurora Cloud,TECNO,4.0,128.0,,Android,1.0,1.0,6.67,MediaTek,1.0,0.0,1.0,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-gamer-asus-v16-v3607vj-intel-core-7-240h-32go-rtx-3050.html,3969.0,PC Portable Gamer ASUS V16 V3607VJ Intel Core 7 240H 32Go RTX 3050,ASUS,32.0,512.0,7.0,FreeDos,,,16.0,Intel,,,,,,,,,
pc_portables,https://www.mytek.tn/pc-portable-gamer-lenovo-loq-15irx10-i7-13e-gen-16g-rtx5050.html,3999.0,PC Portable Gamer LENOVO LOQ 15IRX10 i7 13è Gén 16G RTX5050,LENOVO,16.0,512.0,7.0,FreeDos,,,15.6,Intel,,,,,,,,,
